country	population
Afghanistan	38928000
Albania	2878000
Algeria	43851000
American Samoa	55000
Andorra	77000
Angola	32866000
Anguilla	15000
Antigua and Barbuda	98000
Argentina	45196000
Armenia	2963000
Aruba	107000
Australia	25500000
Austria	9006000
Azerbaijan	10139000
The Bahamas	393000
Bahrain	1702000
Bangladesh	164689000
Barbados	287000
Belarus	9449000
Belgium	11590000
Belize	398000
Benin	12123000
Bermuda	62000
Bhutan	772000
Bolivia	11673000
"Bonaire, Sint Eustatius and Saba"	26000
Bosnia and Herzegovina	3281000
Botswana	2352000
Brazil	212559000
British Virgin Islands	30000
Brunei	437000
Bulgaria	6948000
Burkina Faso	20903000
Burma	54410000
Burundi	11891000
Cape Verde	556000
Cambodia	16719000
Cameroon	26546000
Canada	37742000
Cayman Islands	66000
Central African Republic	4830000
Chad	16426000
Channel Islands	174000
Czech Republic	10700000
Chile	19116000
Mainland China	1439324000
"China, Hong Kong SAR"	7497000
"China, Macao SAR"	649000
"China, Taiwan Province of China"	23817000
Colombia	50883000
Comoros	870000
Republic of the Congo	5518000
Cook Islands	18000
Costa Rica	5094000
Cote d'Ivoire	26378000
Croatia	4105000
Cuba	11327000
Curaçao	164000
Cyprus	1207000
Czechia	10709000
Dem. People's Republic of Korea	25779000
Democratic Republic of the Congo	89561000
Denmark	5792000
Djibouti	988000
Dominica	72000
Dominican Republic	10848000
Ecuador	17643000
Egypt	102334000
El Salvador	6486000
Equatorial Guinea	1403000
Eritrea	3546000
Estonia	1327000
Eswatini	1160000
Ethiopia	114964000
Falkland Islands (Malvinas)	3000
Faroe Islands	49000
Fiji	896000
Finland	5541000
France	65274000
French Guiana	299000
French Polynesia	281000
Gabon	2226000
The Gambia	2417000
Georgia	3989000
Germany	83784000
Ghana	31073000
Gibraltar	34000
Greece	10423000
Greenland	57000
Grenada	113000
Guadeloupe	400000
Guam	169000
Guatemala	17916000
Guinea	13133000
Guinea-Bissau	1968000
Guyana	787000
Haiti	11403000
Holy See (Vatican City)	1000
Honduras	9905000
Hong Kong	7482000
Hungary	9660000
Iceland	341000
India	1380004000
Indonesia	273524000
Iran (Islamic Republic of)	83993000
Iraq	40223000
Ireland	4938000
Isle of Man	85000
Israel	8656000
Italy	60462000
Jamaica	2961000
Japan	126476000
Jordan	10203000
Kazakhstan	18777000
Kenya	53771000
Kiribati	119000
Kosovo	1873000
Kuwait	4271000
Kyrgyzstan	6524000
Lao People's Democratic Republic	7276000
Latvia	1886000
Lebanon	6825000
Lesotho	2142000
Liberia	5058000
Libya	6871000
Liechtenstein	38000
Lithuania	2722000
Luxembourg	626000
Macao	649000
Madagascar	27691000
Malawi	19130000
Malaysia	32366000
Maldives	541000
Mali	20251000
Malta	442000
Marshall Islands	59000
Martinique	375000
Mauritania	4650000
Mauritius	1272000
Mayotte	273000
Mexico	128933000
Micronesia (Fed. States of)	115000
"Moldova, Republic of"	2618000
Monaco	39000
Mongolia	3278000
Montenegro	628000
Montserrat	5000
Morocco	36911000
Mozambique	31255000
Myanmar	54410000
Namibia	2541000
Nauru	11000
Nepal	29137000
Netherlands	17135000
New Caledonia	285000
New Zealand	4822000
Nicaragua	6625000
Niger	24207000
Nigeria	206140000
Niue	2000
North Macedonia	2083000
Northern Mariana Islands	58000
Norway	5421000
Oman	5107000
Pakistan	220892000
Palau	18000
Panama	4315000
Papua New Guinea	8947000
Paraguay	7133000
Peru	32972000
Philippines	109581000
Poland	37847000
Portugal	10197000
Puerto Rico	2861000
Qatar	2881000
Republic of Korea	51269000
Republic of Moldova	4034000
Réunion	895000
Romania	19238000
Russia	145934000
Rwanda	12952000
Saint Barthélemy	10000
Saint Helena	6000
Saint Kitts and Nevis	53000
Saint Lucia	184000
Saint Martin (French part)	39000
Saint Pierre and Miquelon	6000
Saint Vincent and the Grenadines	111000
Samoa	198000
San Marino	34000
Sao Tome and Principe	219000
Saudi Arabia	34814000
Senegal	16744000
Serbia	8737000
Seychelles	98000
Sierra Leone	7977000
Singapore	5850000
Sint Maarten (Dutch part)	43000
Slovakia	5460000
Slovenia	2079000
Solomon Islands	687000
Somalia	15893000
South Africa	59309000
South Sudan	11194000
Spain	46755000
Sri Lanka	21413000
State of Palestine	5101000
Sudan	43849000
Suriname	587000
Sweden	10099000
Switzerland	8655000
Syria	17501000
Taiwan	23570000
Tajikistan	9538000
"Tanzania, United Republic of"	59730000
Thailand	69800000
Timor-Leste	1318000
Togo	8279000
Tokelau	1000
Tonga	106000
Trinidad and Tobago	1399000
Tunisia	11819000
Turkey	84339000
Turkmenistan	6031000
Turks and Caicos Islands	39000
Tuvalu	12000
Uganda	45741000
UK	67220000
Ukraine	43734000
United Arab Emirates	9890000
United Republic of Tanzania	59734000
USA	331003000
United States Virgin Islands	104000
Uruguay	3474000
Uzbekistan	33469000
Vanuatu	307000
Venezuela	28436000
Vietnam	97339000
Wallis and Futuna Islands	11000
West Bank and Gaza	4817000
Western Sahara	597000
Yemen	29826000
Zambia	18384000
Zimbabwe	14863000
